entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,209,6.703349,3.0,0.090909
1981-1990,2,3,2 to 3,124,6.758065,4.0,0.104839
1981-1990,3,4,3 to 4,87,5.494253,3.0,0.068966
1981-1990,4,5,4 to 5,64,4.09375,2.5,0.109375
1981-1990,5,6,5 to 6,52,5.019231,4.0,0.057692
1981-1990,6,7,6 to 7,43,3.837209,3.0,0.139535
1981-1990,7,8,7 to 8,32,4.03125,3.5,0.03125
1981-1990,8,9,8 to 9,25,3.12,2.0,0.04
1981-1990,9,10,9 to 10,19,2.631579,2.0,0.210526
1981-1990,10,11,10 to 11,18,4.444444,3.0,0.111111
1981-1990,11,12,11 to 12,15,3.0,2.0,0.0
1981-1990,12,13,12 to 13,12,3.833333,3.5,0.083333
1981-1990,13,14,13 to 14,6,1.5,2.0,0.166667
1981-1990,14,15,14 to 15,6,3.5,1.0,0.0
1981-1990,15,16,15 to 16,5,5.4,6.0,0.0
1981-1990,16,17,16 to 17,4,1.75,0.5,0.5
1981-1990,17,18,17 to 18,2,1.0,1.0,0.5
1981-1990,18,19,18 to 19,2,1.0,1.0,0.5
1981-1990,19,20,19 to 20,2,1.0,1.0,0.0
1981-1990,20,21,20 to 21,2,2.0,2.0,0.0
1981-1990,21,22,21 to 22,1,1.0,1.0,0.0
1991-2000,1,2,1 to 2,195,6.682051,5.0,0.051282
1991-2000,2,3,2 to 3,123,6.04065,4.0,0.056911
1991-2000,3,4,3 to 4,80,3.6125,3.0,0.0875
1991-2000,4,5,4 to 5,56,2.982143,2.0,0.178571
1991-2000,5,6,5 to 6,50,4.08,2.5,0.06
1991-2000,6,7,6 to 7,39,3.307692,2.0,0.102564
1991-2000,7,8,7 to 8,30,3.1,2.0,0.1
1991-2000,8,9,8 to 9,20,2.85,2.0,0.15
1991-2000,9,10,9 to 10,13,3.153846,2.0,0.076923
1991-2000,10,11,10 to 11,8,1.5,1.0,0.25
1991-2000,11,12,11 to 12,5,1.4,1.0,0.0
1991-2000,12,13,12 to 13,4,1.0,1.0,0.0
1991-2000,13,14,13 to 14,2,0.5,0.5,0.5
1991-2000,14,15,14 to 15,2,2.0,2.0,0.0
1991-2000,15,16,15 to 16,2,1.5,1.5,0.0
1991-2000,16,17,16 to 17,2,1.5,1.5,0.5
1991-2000,17,18,17 to 18,2,1.0,1.0,0.0
1991-2000,18,19,18 to 19,2,0.5,0.5,0.5
1991-2000,19,20,19 to 20,1,1.0,1.0,0.0
1991-2000,20,21,20 to 21,1,1.0,1.0,0.0
1991-2000,21,22,21 to 22,1,0.0,0.0,1.0
2001-2010,1,2,1 to 2,259,5.640927,4.0,0.069498
2001-2010,2,3,2 to 3,154,3.896104,3.0,0.11039
2001-2010,3,4,3 to 4,111,3.648649,3.0,0.09009
2001-2010,4,5,4 to 5,73,2.753425,2.0,0.136986
2001-2010,5,6,5 to 6,54,2.148148,2.0,0.166667
2001-2010,6,7,6 to 7,43,2.883721,2.0,0.116279
2001-2010,7,8,7 to 8,30,1.5,1.0,0.3
2001-2010,8,9,8 to 9,25,1.44,1.0,0.12
2001-2010,9,10,9 to 10,20,1.3,1.0,0.3
2001-2010,10,11,10 to 11,14,1.357143,1.0,0.214286
2001-2010,11,12,11 to 12,6,0.833333,1.0,0.333333
2001-2010,12,13,12 to 13,5,0.4,0.0,0.6
2001-2010,13,14,13 to 14,2,0.5,0.5,0.5
2001-2010,14,15,14 to 15,2,0.5,0.5,0.5
2001-2010,15,16,15 to 16,2,1.0,1.0,0.0
2001-2010,16,17,16 to 17,2,0.0,0.0,1.0
2001-2010,17,18,17 to 18,2,0.5,0.5,0.5
2001-2010,18,19,18 to 19,2,0.5,0.5,0.5
2001-2010,19,20,19 to 20,1,0.0,0.0,1.0
2001-2010,20,21,20 to 21,1,2.0,2.0,0.0
2001-2010,21,22,21 to 22,1,0.0,0.0,1.0
2001-2010,22,23,22 to 23,1,0.0,0.0,1.0
2001-2010,23,24,23 to 24,1,1.0,1.0,0.0
2001-2010,24,25,24 to 25,1,1.0,1.0,0.0
2001-2010,25,26,25 to 26,1,1.0,1.0,0.0
2001-2010,26,27,26 to 27,1,1.0,1.0,0.0
2001-2010,27,28,27 to 28,1,1.0,1.0,0.0
2001-2010,28,29,28 to 29,1,1.0,1.0,0.0
2011-2020,1,2,1 to 2,340,3.455882,3.0,0.108824
2011-2020,2,3,2 to 3,184,2.733696,2.0,0.130435
2011-2020,3,4,3 to 4,89,2.101124,2.0,0.157303
2011-2020,4,5,4 to 5,59,2.050847,2.0,0.169492
2011-2020,5,6,5 to 6,37,1.378378,1.0,0.243243
2011-2020,6,7,6 to 7,21,1.190476,1.0,0.333333
2011-2020,7,8,7 to 8,11,1.181818,1.0,0.272727
2011-2020,8,9,8 to 9,6,2.166667,2.0,0.0
2011-2020,9,10,9 to 10,3,0.666667,1.0,0.333333
2011-2020,10,11,10 to 11,3,1.0,1.0,0.333333
2011-2020,11,12,11 to 12,3,2.0,1.0,0.0
2011-2020,12,13,12 to 13,1,1.0,1.0,0.0
2011-2020,13,14,13 to 14,1,0.0,0.0,1.0
2011-2020,14,15,14 to 15,1,1.0,1.0,0.0
2011-2020,15,16,15 to 16,1,0.0,0.0,1.0
2011-2020,16,17,16 to 17,1,0.0,0.0,1.0
2011-2020,17,18,17 to 18,1,1.0,1.0,0.0
2011-2020,18,19,18 to 19,1,0.0,0.0,1.0
