entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,30,12.166667,13.0,0.033333
1981-1990,2,3,2 to 3,10,4.3,3.0,0.0
1981-1990,3,4,3 to 4,7,6.285714,5.0,0.0
1981-1990,4,5,4 to 5,4,2.25,1.5,0.0
1981-1990,5,6,5 to 6,3,1.333333,1.0,0.333333
1981-1990,6,7,6 to 7,3,3.666667,2.0,0.0
1981-1990,7,8,7 to 8,2,4.0,4.0,0.0
1981-1990,8,9,8 to 9,1,1.0,1.0,0.0
1981-1990,9,10,9 to 10,1,1.0,1.0,0.0
1981-1990,10,11,10 to 11,1,6.0,6.0,0.0
1991-2000,1,2,1 to 2,108,6.981481,6.0,0.046296
1991-2000,2,3,2 to 3,68,4.558824,3.0,0.073529
1991-2000,3,4,3 to 4,48,4.020833,3.0,0.125
1991-2000,4,5,4 to 5,37,3.405405,3.0,0.081081
1991-2000,5,6,5 to 6,32,4.125,4.0,0.15625
1991-2000,6,7,6 to 7,24,1.458333,1.0,0.333333
1991-2000,7,8,7 to 8,19,1.842105,1.0,0.210526
1991-2000,8,9,8 to 9,16,1.25,1.0,0.25
1991-2000,9,10,9 to 10,14,3.285714,2.0,0.142857
1991-2000,10,11,10 to 11,11,1.363636,1.0,0.181818
1991-2000,11,12,11 to 12,9,1.333333,1.0,0.222222
1991-2000,12,13,12 to 13,8,1.0,1.0,0.375
1991-2000,13,14,13 to 14,7,1.0,1.0,0.142857
1991-2000,14,15,14 to 15,7,1.571429,1.0,0.142857
1991-2000,15,16,15 to 16,7,1.714286,1.0,0.285714
1991-2000,16,17,16 to 17,6,1.5,1.0,0.166667
1991-2000,17,18,17 to 18,4,1.0,0.5,0.5
1991-2000,18,19,18 to 19,4,1.5,1.5,0.0
1991-2000,19,20,19 to 20,4,0.5,0.0,0.75
1991-2000,20,21,20 to 21,3,0.0,0.0,1.0
1991-2000,21,22,21 to 22,3,1.333333,1.0,0.0
1991-2000,22,23,22 to 23,2,2.5,2.5,0.0
1991-2000,23,24,23 to 24,1,0.0,0.0,1.0
1991-2000,24,25,24 to 25,1,1.0,1.0,0.0
1991-2000,25,26,25 to 26,1,0.0,0.0,1.0
1991-2000,26,27,26 to 27,1,1.0,1.0,0.0
1991-2000,27,28,27 to 28,1,0.0,0.0,1.0
1991-2000,28,29,28 to 29,1,1.0,1.0,0.0
1991-2000,29,30,29 to 30,1,1.0,1.0,0.0
1991-2000,30,31,30 to 31,1,0.0,0.0,1.0
1991-2000,31,32,31 to 32,1,1.0,1.0,0.0
1991-2000,32,33,32 to 33,1,1.0,1.0,0.0
1991-2000,33,34,33 to 34,1,0.0,0.0,1.0
1991-2000,34,35,34 to 35,1,1.0,1.0,0.0
1991-2000,35,36,35 to 36,1,0.0,0.0,1.0
1991-2000,36,37,36 to 37,1,1.0,1.0,0.0
1991-2000,37,38,37 to 38,1,0.0,0.0,1.0
1991-2000,38,39,38 to 39,1,0.0,0.0,1.0
1991-2000,39,40,39 to 40,1,1.0,1.0,0.0
1991-2000,40,41,40 to 41,1,1.0,1.0,0.0
1991-2000,41,42,41 to 42,1,0.0,0.0,1.0
1991-2000,42,43,42 to 43,1,1.0,1.0,0.0
1991-2000,43,44,43 to 44,1,1.0,1.0,0.0
1991-2000,44,45,44 to 45,1,1.0,1.0,0.0
1991-2000,45,46,45 to 46,1,2.0,2.0,0.0
1991-2000,46,47,46 to 47,1,0.0,0.0,1.0
1991-2000,47,48,47 to 48,1,1.0,1.0,0.0
2001-2010,1,2,1 to 2,201,5.238806,4.0,0.054726
2001-2010,2,3,2 to 3,120,4.716667,4.0,0.066667
2001-2010,3,4,3 to 4,72,3.361111,2.0,0.125
2001-2010,4,5,4 to 5,46,2.869565,2.0,0.108696
2001-2010,5,6,5 to 6,26,2.769231,2.0,0.153846
2001-2010,6,7,6 to 7,17,1.764706,1.0,0.235294
2001-2010,7,8,7 to 8,14,2.142857,1.0,0.428571
2001-2010,8,9,8 to 9,12,2.166667,1.0,0.25
2001-2010,9,10,9 to 10,10,2.1,2.0,0.0
2001-2010,10,11,10 to 11,10,1.7,1.5,0.2
2001-2010,11,12,11 to 12,9,1.888889,2.0,0.333333
2001-2010,12,13,12 to 13,6,1.333333,1.0,0.166667
2001-2010,13,14,13 to 14,1,2.0,2.0,0.0
2011-2020,1,2,1 to 2,293,3.832765,3.0,0.095563
2011-2020,2,3,2 to 3,134,3.164179,2.0,0.11194
2011-2020,3,4,3 to 4,68,2.367647,2.0,0.176471
2011-2020,4,5,4 to 5,29,2.344828,1.0,0.275862
2011-2020,5,6,5 to 6,13,1.846154,1.0,0.230769
2011-2020,6,7,6 to 7,7,2.0,1.0,0.285714
2011-2020,7,8,7 to 8,4,1.0,1.0,0.25
2011-2020,8,9,8 to 9,2,0.5,0.5,0.5
2011-2020,9,10,9 to 10,2,1.0,1.0,0.5
2011-2020,10,11,10 to 11,1,2.0,2.0,0.0
2011-2020,11,12,11 to 12,1,1.0,1.0,0.0
2011-2020,12,13,12 to 13,1,0.0,0.0,1.0
2011-2020,13,14,13 to 14,1,1.0,1.0,0.0
2011-2020,14,15,14 to 15,1,1.0,1.0,0.0
2011-2020,15,16,15 to 16,1,1.0,1.0,0.0
