entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,71,9.84507,8.0,0.070423
1981-1990,2,3,2 to 3,44,6.522727,5.0,0.068182
1981-1990,3,4,3 to 4,27,4.333333,3.0,0.259259
1981-1990,4,5,4 to 5,19,7.0,5.0,0.157895
1981-1990,5,6,5 to 6,9,7.444444,5.0,0.0
1981-1990,6,7,6 to 7,6,2.5,1.0,0.0
1981-1990,7,8,7 to 8,5,8.0,8.0,0.0
1981-1990,8,9,8 to 9,4,3.75,4.0,0.0
1981-1990,9,10,9 to 10,3,6.666667,5.0,0.333333
1981-1990,10,11,10 to 11,2,2.0,2.0,0.0
1981-1990,11,12,11 to 12,2,3.0,3.0,0.5
1981-1990,12,13,12 to 13,1,0.0,0.0,1.0
1981-1990,13,14,13 to 14,1,1.0,1.0,0.0
1981-1990,14,15,14 to 15,1,2.0,2.0,0.0
1981-1990,15,16,15 to 16,1,0.0,0.0,1.0
1991-2000,1,2,1 to 2,83,7.493976,5.0,0.072289
1991-2000,2,3,2 to 3,47,4.531915,3.0,0.085106
1991-2000,3,4,3 to 4,37,4.594595,3.0,0.081081
1991-2000,4,5,4 to 5,23,4.695652,2.0,0.043478
1991-2000,5,6,5 to 6,15,3.6,4.0,0.066667
1991-2000,6,7,6 to 7,10,2.8,2.5,0.2
1991-2000,7,8,7 to 8,8,2.125,1.5,0.25
1991-2000,8,9,8 to 9,4,2.5,2.5,0.0
1991-2000,9,10,9 to 10,3,2.666667,3.0,0.0
1991-2000,10,11,10 to 11,2,0.5,0.5,0.5
1991-2000,11,12,11 to 12,2,1.5,1.5,0.0
1991-2000,12,13,12 to 13,1,1.0,1.0,0.0
1991-2000,13,14,13 to 14,1,1.0,1.0,0.0
1991-2000,14,15,14 to 15,1,0.0,0.0,1.0
1991-2000,15,16,15 to 16,1,1.0,1.0,0.0
1991-2000,16,17,16 to 17,1,3.0,3.0,0.0
2001-2010,1,2,1 to 2,219,6.552511,5.0,0.059361
2001-2010,2,3,2 to 3,112,4.142857,4.0,0.107143
2001-2010,3,4,3 to 4,59,3.152542,3.0,0.084746
2001-2010,4,5,4 to 5,40,3.25,3.0,0.1
2001-2010,5,6,5 to 6,20,1.8,1.5,0.1
2001-2010,6,7,6 to 7,16,2.0,2.0,0.125
2001-2010,7,8,7 to 8,13,2.153846,1.0,0.230769
2001-2010,8,9,8 to 9,11,1.727273,1.0,0.181818
2001-2010,9,10,9 to 10,6,1.666667,1.5,0.0
2001-2010,10,11,10 to 11,5,1.8,2.0,0.0
2001-2010,11,12,11 to 12,4,1.0,1.0,0.25
2001-2010,12,13,12 to 13,3,1.666667,2.0,0.0
2001-2010,13,14,13 to 14,1,2.0,2.0,0.0
2001-2010,14,15,14 to 15,1,1.0,1.0,0.0
2011-2020,1,2,1 to 2,264,4.018939,4.0,0.079545
2011-2020,2,3,2 to 3,100,3.08,3.0,0.09
2011-2020,3,4,3 to 4,42,2.5,2.0,0.166667
2011-2020,4,5,4 to 5,24,2.666667,1.0,0.25
2011-2020,5,6,5 to 6,12,2.25,1.5,0.083333
2011-2020,6,7,6 to 7,4,3.75,3.5,0.0
2011-2020,7,8,7 to 8,2,0.5,0.5,0.5
2011-2020,8,9,8 to 9,1,1.0,1.0,0.0
2011-2020,9,10,9 to 10,1,1.0,1.0,0.0
2011-2020,10,11,10 to 11,1,3.0,3.0,0.0
